# 课文对话行的拼音 + 英文翻译（手工源，convert_texts.py 回灌到 lines[]）
# 格式: 汉字<TAB>拼音<TAB>英文  —— 按去重后的对话行（说话人已去掉）
# 拼音为 tone-marked，不/一 采用变调写法；数字读作汉字处已转拼音，电话号码保留原样。
# 目前覆盖 newhsk3 第 1 单元（试水）。
AI小语，你好！	AI Xiǎoyǔ, nǐ hǎo!	AI Xiaoyu, hello!
好的。每天上下班都开车，今天运动运动吧。	Hǎo de. Měi tiān shàng-xiàbān dōu kāichē, jīntiān yùndòng yùndòng ba.	Okay. We drive to and from work every day—let's get some exercise today.
这周刘明休息，我下班后跟他去了一家商店。商店里边的衣服没有大商场里的好看。我们没有买到喜欢的衣服，从商店出来就到咖啡店坐了坐。因为想运动运动，所以喝完东西，我们就走回家了。	Zhè zhōu Liú Míng xiūxi, wǒ xiàbān hòu gēn tā qù le yì jiā shāngdiàn. Shāngdiàn lǐbian de yīfu méiyǒu dà shāngchǎng li de hǎokàn. Wǒmen méiyǒu mǎidào xǐhuan de yīfu, cóng shāngdiàn chūlai jiù dào kāfēidiàn zuò le zuò. Yīnwèi xiǎng yùndòng yùndòng, suǒyǐ hē wán dōngxi, wǒmen jiù zǒu huí jiā le.	Liu Ming was off this week, so after work I went with him to a store. The clothes in the store weren't as nice as those in a big mall. We didn't find any clothes we liked, so after leaving we sat for a while at a coffee shop. Because we wanted some exercise, after our drinks we walked home.
小明，你们明天开学，你准备好了吗？	Xiǎo Míng, nǐmen míngtiān kāixué, nǐ zhǔnbèi hǎo le ma?	Xiao Ming, school starts tomorrow—are you ready?
明天就开学啊？爸爸，我的书包你看见了吗？	Míngtiān jiù kāixué a? Bàba, wǒ de shūbāo nǐ kànjiàn le ma?	School starts tomorrow already? Dad, have you seen my schoolbag?
书包在门后面。	Shūbāo zài mén hòumiàn.	The schoolbag is behind the door.
书在哪儿呢？笔呢？	Shū zài nǎr ne? Bǐ ne?	Where are my books? And my pens?
书在床上，笔在桌子上。	Shū zài chuáng shàng, bǐ zài zhuōzi shàng.	The books are on the bed, and the pens are on the desk.
太好了！现在都准备好了。	Tài hǎo le! Xiànzài dōu zhǔnbèi hǎo le.	Great! Everything's ready now.
这次爸爸帮你，下次你自己准备，好不好？	Zhè cì bàba bāng nǐ, xià cì nǐ zìjǐ zhǔnbèi, hǎo bu hǎo?	This time Dad helped you; next time you prepare it yourself, okay?
好！	Hǎo!	Okay!
小雪，你在做什么呢？	Xiǎoxuě, nǐ zài zuò shénme ne?	Xiaoxue, what are you doing?
明天就要考试了，我在看书。	Míngtiān jiù yào kǎoshì le, wǒ zài kàn shū.	There's an exam tomorrow, so I'm studying.
这些词要好好看看。	Zhèxiē cí yào hǎohǎo kànkan.	Study these words carefully.
我看过了，意思也都懂了。	Wǒ kànguo le, yìsi yě dōu dǒng le.	I've gone over them and understand all the meanings.
你的本子呢？本子上做错的题也要看一看。	Nǐ de běnzi ne? Běnzi shàng zuòcuò de tí yě yào kàn yi kàn.	Where's your notebook? Look over the questions you got wrong in it too.
妈妈，是您准备考试还是我准备考试？	Māma, shì nín zhǔnbèi kǎoshì háishi wǒ zhǔnbèi kǎoshì?	Mom, is it you taking the exam or me?
妈妈，我回来了！	Māma, wǒ huílai le!	Mom, I'm home!
我买了奶茶，就在桌子上，自己去拿吧。	Wǒ mǎi le nǎichá, jiù zài zhuōzi shàng, zìjǐ qù ná ba.	I bought milk tea—it's on the table, go help yourself.
谢谢妈妈！	Xièxie māma!	Thanks, Mom!
今天考试考得怎么样？	Jīntiān kǎoshì kǎo de zěnmeyàng?	How did the exam go today?
我觉得比上次好。	Wǒ juéde bǐ shàng cì hǎo.	I think it went better than last time.
真不错！饭菜快要做好了，你叫弟弟一起去洗手吧。	Zhēn búcuò! Fàncài kuài yào zuò hǎo le, nǐ jiào dìdi yìqǐ qù xǐ shǒu ba.	Great! Dinner's almost ready—go call your little brother to wash hands with you.
妈妈，我是第一名，姐姐还没洗完呢。	Māma, wǒ shì dì-yī míng, jiějie hái méi xǐ wán ne.	Mom, I'm first—big sister hasn't finished washing yet.
你洗得真快啊！	Nǐ xǐ de zhēn kuài a!	You washed up really fast!
快要开学了，爸爸帮弟弟准备书包、本子和笔。我就要考试了，妈妈让我看书、看做错的题。我们上学，爸爸、妈妈比我们还忙。我问他们：“是我和弟弟上学还是你们上学？”我问完，他们都笑了。	Kuài yào kāixué le, bàba bāng dìdi zhǔnbèi shūbāo, běnzi hé bǐ. Wǒ jiù yào kǎoshì le, māma ràng wǒ kàn shū, kàn zuòcuò de tí. Wǒmen shàngxué, bàba, māma bǐ wǒmen hái máng. Wǒ wèn tāmen: "shì wǒ hé dìdi shàngxué háishi nǐmen shàngxué?" Wǒ wèn wán, tāmen dōu xiào le.	School's about to start, and Dad is helping my little brother pack his schoolbag, notebooks, and pens. I have an exam coming up, and Mom has me study and review the questions I got wrong. When we go to school, Mom and Dad are even busier than we are. I asked them, "Is it my brother and me going to school, or you two?" After I asked, they both laughed.
家月，都下课了，你怎么还不回家？	Jiāyuè, dōu xiàkè le, nǐ zěnme hái bù huí jiā?	Jiayue, class is over—why aren't you going home yet?
我头疼，不太舒服。	Wǒ tóu téng, bú tài shūfu.	I have a headache and don't feel well.
你这几天经常头疼，去医院看看吧。	Nǐ zhè jǐ tiān jīngcháng tóu téng, qù yīyuàn kànkan ba.	You've had headaches often these days—go see a doctor.
我想休息一下，现在不能动，一动就疼。	Wǒ xiǎng xiūxi yíxià, xiànzài bù néng dòng, yí dòng jiù téng.	I want to rest—I can't move now; it hurts the moment I do.
那你在这儿坐着，我去开车，一会儿送你去医院。	Nà nǐ zài zhèr zuòzhe, wǒ qù kāichē, yíhuìr sòng nǐ qù yīyuàn.	Then sit here—I'll get the car and take you to the hospital in a bit.
谢谢王老师。	Xièxie Wáng lǎoshī.	Thank you, Teacher Wang.
现在路上车多，还下着雪，我开慢一点儿。	Xiànzài lù shàng chē duō, hái xiàzhe xuě, wǒ kāi màn yìdiǎnr.	There's heavy traffic now and it's snowing, so I'll drive slowly.
没问题，现在头没那么疼了。	Méi wèntí, xiànzài tóu méi nàme téng le.	No problem—my head doesn't hurt as much now.
好。李文来电话了，你帮我接一下。	Hǎo. Lǐ Wén lái diànhuà le, nǐ bāng wǒ jiē yíxià.	Okay. Li Wen is calling—answer it for me.
喂，李文，王老师开着车呢，你找她有事吗？	Wéi, Lǐ Wén, Wáng lǎoshī kāizhe chē ne, nǐ zhǎo tā yǒu shì ma?	Hello, Li Wen, Teacher Wang is driving—did you need her for something?
没什么事。今天雪这么大，你们开车去哪儿啊？	Méi shénme shì. Jīntiān xuě zhème dà, nǐmen kāichē qù nǎr a?	Nothing much. The snow's so heavy today—where are you two driving to?
去医院，我头有点儿疼。	Qù yīyuàn, wǒ tóu yǒudiǎnr téng.	To the hospital—I have a bit of a headache.
那我一会儿去看看你。	Nà wǒ yíhuìr qù kànkan nǐ.	Then I'll come see you in a bit.
李文，快请进！	Lǐ Wén, kuài qǐng jìn!	Li Wen, come in!
家月，你怎么样了？头还疼吗？	Jiāyuè, nǐ zěnmeyàng le? Tóu hái téng ma?	Jiayue, how are you? Does your head still hurt?
不那么疼了。医生开了一些药，吃完就好多了。	Bú nàme téng le. Yīshēng kāi le yìxiē yào, chī wán jiù hǎo duō le.	Not as much. The doctor prescribed some medicine, and after taking it I feel much better.
那就好！	Nà jiù hǎo!	That's good!
家月，你想不想吃点儿东西？	Jiāyuè, nǐ xiǎng bu xiǎng chī diǎnr dōngxi?	Jiayue, would you like something to eat?
吃点儿吧，身体不舒服时更要好好吃饭。	Chī diǎnr ba, shēntǐ bù shūfu shí gèng yào hǎohǎo chī fàn.	Have a little—when you're unwell you should eat properly all the more.
吃点儿什么呢？	Chī diǎnr shénme ne?	What should I eat?
你最喜欢吃中国菜，我做几个中国菜吧。	Nǐ zuì xǐhuan chī Zhōngguó cài, wǒ zuò jǐ ge Zhōngguó cài ba.	You love Chinese food most—I'll cook a few Chinese dishes.
好的，谢谢王老师。	Hǎo de, xièxie Wáng lǎoshī.	Okay, thank you, Teacher Wang.
我这几天经常头疼，从药店买了点儿药，没去医院。今天下课后，王老师看我不舒服，就送我去医院了。从医院回来，李文也来看我了。现在他们都回去了，我也要睡觉了。	Wǒ zhè jǐ tiān jīngcháng tóu téng, cóng yàodiàn mǎi le diǎnr yào, méi qù yīyuàn. Jīntiān xiàkè hòu, Wáng lǎoshī kàn wǒ bù shūfu, jiù sòng wǒ qù yīyuàn le. Cóng yīyuàn huílai, Lǐ Wén yě lái kàn wǒ le. Xiànzài tāmen dōu huíqu le, wǒ yě yào shuìjiào le.	I've had frequent headaches these days; I bought some medicine at the pharmacy and didn't go to the hospital. After class today, Teacher Wang saw I was unwell and took me to the hospital. After I got back, Li Wen came to see me too. Now they've all left, and I'm going to sleep.
喂，家月，是你啊！有什么事情吗？	Wéi, Jiāyuè, shì nǐ a! Yǒu shénme shìqing ma?	Hello, Jiayue, it's you! Is something up?
没什么事，就想跟您说说话。	Méi shénme shì, jiù xiǎng gēn nín shuōshuo huà.	Nothing much—I just wanted to chat with you.
好啊。你今天没课吗？	Hǎo a. Nǐ jīntiān méi kè ma?	Sure. Don't you have class today?
下午有课。您那里天气怎么样？	Xiàwǔ yǒu kè. Nín nàli tiānqì zěnmeyàng?	I have class in the afternoon. How's the weather where you are?
北京这几天虽然是晴天，但是有点儿冷。	Běijīng zhè jǐ tiān suīrán shì qíngtiān, dànshì yǒudiǎnr lěng.	Beijing has been sunny these days, but a bit cold.
我这里比北京冷多了，外边还正下着雪呢！	Wǒ zhèlǐ bǐ Běijīng lěng duō le, wàibian hái zhèng xiàzhe xuě ne!	It's much colder here than in Beijing—it's even snowing outside right now!
喂，一飞，听家月说你那边下雪了，下得大不大？	Wéi, Yīfēi, tīng Jiāyuè shuō nǐ nàbiān xià xuě le, xià de dà bu dà?	Hello, Yifei, Jiayue says it's snowing where you are—is it heavy?
今天不大，昨天比今天下得大。	Jīntiān bú dà, zuótiān bǐ jīntiān xià de dà.	Not today; it snowed harder yesterday than today.
天气不好，你去外面的时候多穿点儿衣服。	Tiānqì bù hǎo, nǐ qù wàimiàn de shíhou duō chuān diǎnr yīfu.	The weather's bad—dress warmly when you go out.
这几天我在网上上课，没出去过。	Zhè jǐ tiān wǒ zài wǎng shàng shàngkè, méi chūqu guo.	These days I've been taking classes online and haven't gone out.
那就好，有事记得给我打电话。	Nà jiù hǎo, yǒu shì jìde gěi wǒ dǎ diànhuà.	That's good—remember to call me if anything comes up.
好的。现在不下雪了，我出去买点儿吃的。	Hǎo de. Xiànzài bú xià xuě le, wǒ chūqu mǎi diǎnr chī de.	Okay. It's stopped snowing now—I'll go out and buy some food.
一次多买点儿，阴天下雪什么的就少出去吧。	Yí cì duō mǎi diǎnr, yīntiān xià xuě shénme de jiù shǎo chūqu ba.	Buy more at once, and go out less on cloudy or snowy days.
喂，家月，今天天气不错，我们去跑步吧！	Wéi, Jiāyuè, jīntiān tiānqì búcuò, wǒmen qù pǎobù ba!	Hello, Jiayue, the weather's nice today—let's go for a run!
你跑步跑得比我快，我们能一起跑吗？	Nǐ pǎobù pǎo de bǐ wǒ kuài, wǒmen néng yìqǐ pǎo ma?	You run faster than me—can we run together?
可以的，我慢慢跑，等你。	Kěyǐ de, wǒ mànmàn pǎo, děng nǐ.	Sure—I'll run slowly and wait for you.
好吧。你真爱跑步啊！	Hǎo ba. Nǐ zhēn ài pǎobù a!	Okay. You really love running!
我小时候经常跑步，跑步能让人快乐！	Wǒ xiǎoshíhou jīngcháng pǎobù, pǎobù néng ràng rén kuàilè!	I ran a lot as a kid—running makes you happy!
好，那我准备一下。	Hǎo, nà wǒ zhǔnbèi yíxià.	Okay, then let me get ready.
我现在坐地铁去找你，一会儿楼下见。	Wǒ xiànzài zuò dìtiě qù zhǎo nǐ, yíhuìr lóuxià jiàn.	I'll take the subway to meet you now—see you downstairs soon.
前几天天气不好，我没走路，每天坐两站地铁去学校。今天是个大晴天，李文让我跟他去外面跑步。他小时候经常跑步，跑得比我快，但是他会等我。跟李文一起跑步，我好高兴啊！	Qián jǐ tiān tiānqì bù hǎo, wǒ méi zǒulù, měi tiān zuò liǎng zhàn dìtiě qù xuéxiào. Jīntiān shì ge dà qíngtiān, Lǐ Wén ràng wǒ gēn tā qù wàimiàn pǎobù. Tā xiǎoshíhou jīngcháng pǎobù, pǎo de bǐ wǒ kuài, dànshì tā huì děng wǒ. Gēn Lǐ Wén yìqǐ pǎobù, wǒ hǎo gāoxìng a!	The weather was bad the past few days, so I didn't walk—I took the subway two stops to school each day. Today is a bright sunny day, and Li Wen invited me to go running outside with him. He ran a lot as a kid and runs faster than me, but he waits for me. Running with Li Wen makes me so happy!
时间过得真快啊！新年就要到了。	Shíjiān guò de zhēn kuài a! Xīnnián jiù yào dào le.	Time flies! The New Year is almost here.
这一年王老师教我们中文，每天工作都很累。	Zhè yì nián Wáng lǎoshī jiāo wǒmen Zhōngwén, měi tiān gōngzuò dōu hěn lèi.	This year Teacher Wang taught us Chinese, and her work was tiring every day.
是啊，她教得很好。因为她，我们都非常爱上中文课。	Shì a, tā jiāo de hěn hǎo. Yīnwèi tā, wǒmen dōu fēicháng ài shàng Zhōngwén kè.	Yeah, she teaches very well. Because of her, we all love going to Chinese class.
我们给她准备个新年礼物吧。你觉得送给她什么好呢？	Wǒmen gěi tā zhǔnbèi ge xīnnián lǐwù ba. Nǐ juéde sòng gěi tā shénme hǎo ne?	Let's get her a New Year gift. What do you think we should give her?
王老师喜欢花，就送给她花吧。	Wáng lǎoshī xǐhuan huā, jiù sòng gěi tā huā ba.	Teacher Wang likes flowers—let's give her flowers.
那我们去花店看看，现在买花的人多，希望花店还有漂亮的花。	Nà wǒmen qù huādiàn kànkan, xiànzài mǎi huā de rén duō, xīwàng huādiàn hái yǒu piàoliang de huā.	Then let's check the flower shop—lots of people are buying flowers now; I hope the shop still has some pretty ones.
王老师，今天的词比昨天多了十个。	Wáng lǎoshī, jīntiān de cí bǐ zuótiān duō le shí ge.	Teacher Wang, there are ten more words today than yesterday.
是啊！你们都学会了吗？	Shì a! Nǐmen dōu xuéhuì le ma?	Yes! Have you all learned them?
学会了，没有问题。	Xuéhuì le, méiyǒu wèntí.	Yes, no problem.
好。现在我来说，你们在本子上面写。	Hǎo. Xiànzài wǒ lái shuō, nǐmen zài běnzi shàngmiàn xiě.	Good. Now I'll say them, and you write them in your notebooks.
同学们，“洗手间”的“间”字写错了，它的里面是“日”，不是“口”。	Tóngxuémen, "xǐshǒujiān" de "jiān" zì xiěcuò le, tā de lǐmiàn shì "rì", bú shì "kǒu".	Class, the character "jiān" in "restroom" is written wrong—inside it is "日" (rì), not "口" (kǒu).
“日”比“口”多一笔，写“口”就是“问题”的“问”了。	"Rì" bǐ "kǒu" duō yì bǐ, xiě "kǒu" jiù shì "wèntí" de "wèn" le.	"日" has one more stroke than "口"; if you write "口", it becomes the "wèn" in "wèntí" (question).
没错，你说得很对。	Méicuò, nǐ shuō de hěn duì.	Exactly, you're quite right.
家月，你觉得这个本子怎么样？	Jiāyuè, nǐ juéde zhège běnzi zěnmeyàng?	Jiayue, what do you think of this notebook?
很漂亮，多少钱一个？	Hěn piàoliang, duōshao qián yí ge?	Very nice—how much each?
比我们一起买的那个本子贵一点儿。	Bǐ wǒmen yìqǐ mǎi de nàge běnzi guì yìdiǎnr.	A bit more expensive than the one we bought together.
这么漂亮的本子，不可能贵一点儿吧？	Zhème piàoliang de běnzi, bù kěnéng guì yìdiǎnr ba?	Such a pretty notebook can't be only a bit more expensive, right?
